,Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length
200,Running,2019-04-07 11:11:00,Baltimore Running,16.01,1070.0,112,143,166,178,188,7:02,4:58,862,864,1.29
201,Running,2019-04-06 18:24:00,Baltimore Running,9.72,605.0,68,134,175,176,182,7:05,5:27,783,799,1.29
202,Running,2019-04-04 16:28:00,Baltimore Running,10.1,592.0,68,134,193,180,194,6:49,4:52,477,470,1.32
203,Running,2019-04-03 16:48:00,Baltimore Running,4.04,257.0,27,132,150,182,192,6:53,5:59,291,287,1.29
204,Running,2019-04-03 09:15:00,Baltimore Running,10.0,630.0,80,128,174,174,184,8:02,6:06,468,474,1.15
205,Running,2019-04-02 17:52:00,Baltimore Running,1.48,150.0,15,129,162,166,180,10:44,7:46,97,58,0.9
206,Running,2019-04-02 17:39:00,Baltimore Running,1.01,72.0,429,131,143,178,214,7:07,3:39,27,37,1.27
207,Running,2019-04-02 17:29:00,Baltimore Running,1.05,38.0,270,121,140,202,208,4:17,3:51,38,38,1.86
208,Running,2019-04-02 17:24:00,Baltimore Running,0.65,30.0,179,130,147,194,198,4:34,4:21,27,42,1.81
209,Running,2019-04-02 17:18:00,Baltimore Running,0.65,29.0,178,129,136,196,198,4:34,4:21,26,42,1.8
210,Running,2019-04-02 17:13:00,Baltimore Running,0.66,21.0,178,113,119,196,200,4:30,3:51,26,45,1.82
211,Running,2019-04-02 17:08:00,Baltimore Running,0.65,18.0,177,108,116,196,200,4:31,4:20,23,30,1.82
212,Running,2019-04-02 17:02:00,Baltimore Running,0.65,19.0,178,109,119,196,202,4:33,4:25,24,29,1.81
213,Running,2019-04-02 16:57:00,Baltimore Running,0.65,22.0,174,114,132,200,208,4:28,4:16,27,43,1.8
214,Running,2019-04-02 16:30:00,Baltimore Running,2.09,138.0,14,130,161,182,194,6:49,4:50,78,115,1.3
215,Running,2019-04-01 09:16:00,Baltimore Running,10.01,617.0,70,137,184,182,196,7:00,3:58,487,488,1.27
216,Running,2019-03-31 09:12:00,Baltimore Running,17.08,1026.0,117,140,177,182,196,6:54,4:59,985,979,1.29
217,Running,2019-03-30 15:57:00,Baltimore Running,10.08,610.0,72,133,160,178,190,7:12,6:02,905,896,1.25
218,Running,2019-03-29 22:20:00,Running,3.1,0.0,15,0,0,0,0,4:55,0,0,0,0.0
219,Running,2019-03-29 20:38:00,Richmond Running,1.8,214.0,15,156,176,174,182,8:33,4:04,121,122,1.09
